고객ID,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료,시작일_dt,종료일_dt,유지기간,총과금액,유지기간(년),데이터사용구간,고객월평균납부액
C-11292,여성,49,No,No,0,0,No,신용카드,No,No,No,No,0,2020-08-01,2022-01-01,No,23,,5967,3,27690,2020-08-01,2022-01-01,17,401700,1,1GB 미만,23629.41176470588
C-11293,남성,71,No,No,0,0,Yes,계좌이체,No,No,No,Yes,23,2016-06-01,2022-01-01,No,70,,4932,4,0,2016-06-01,2022-01-01,67,3956900,5,2GB 이상 3GB 미만,59058.20895522388
C-11294,여성,62,Yes,No,0,1,Yes,계좌이체,No,No,No,No,11,2020-11-01,2021-06-01,Yes,74,Competitor,3887,1,25540,2020-11-01,2021-06-01,8,840500,0,1GB 이상 2GB 미만,105062.5
C-11295,여성,45,Yes,No,0,9,Yes,계좌이체,No,No,No,No,0,2015-01-01,2022-01-01,No,36,,4551,3,55940,2015-01-01,2022-01-01,84,2473000,7,1GB 미만,29440.47619047619
C-11296,여성,51,Yes,No,0,6,No,신용카드,No,No,No,No,0,2015-01-01,2022-01-01,No,25,,6302,4,49610,2015-01-01,2022-01-01,84,2037600,7,1GB 미만,24257.14285714286
C-11297,남성,47,No,No,0,0,No,계좌이체,Yes,Yes,No,Yes,3,2020-12-01,2022-01-01,No,28,,4592,4,19320,2020-12-01,2022-01-01,13,1101500,1,1GB 미만,84730.76923076923
C-11298,남성,27,Yes,Yes,1,7,No,계좌이체,Yes,No,Yes,Yes,47,2017-02-01,2022-01-01,No,29,,5040,3,0,2017-02-01,2022-01-01,59,2795400,4,4GB 이상 5GB 미만,47379.661016949154
C-11299,남성,31,No,No,0,0,Yes,신용카드,No,No,No,No,0,2019-04-01,2022-01-01,No,40,,3721,5,25430,2019-04-01,2022-01-01,33,790800,2,1GB 미만,23963.636363636364
C-11300,남성,31,Yes,Yes,2,3,No,계좌이체,Yes,Yes,Yes,Yes,18,2015-05-01,2022-01-01,No,38,,5748,3,10510,2015-05-01,2022-01-01,80,8980200,6,1GB 이상 2GB 미만,112252.5
C-11301,남성,38,Yes,Yes,1,1,Yes,계좌이체,No,Yes,No,Yes,24,2016-03-01,2022-01-01,No,36,,4879,5,53900,2016-03-01,2022-01-01,70,7659100,5,2GB 이상 3GB 미만,109415.71428571429
C-11302,남성,79,Yes,No,0,6,Yes,계좌이체,No,Yes,No,Yes,22,2018-04-01,2022-01-01,No,55,,3669,4,49830,2018-04-01,2022-01-01,45,5319600,3,2GB 이상 3GB 미만,118213.33333333333
C-11303,남성,21,No,No,0,3,No,신용카드,No,No,No,No,0,2018-04-01,2022-01-01,No,59,,3636,5,55820,2018-04-01,2022-01-01,45,1060000,3,1GB 미만,23555.555555555555
C-11304,남성,35,No,No,0,0,No,신용카드,No,No,No,No,0,2021-07-01,2021-08-01,Yes,70,Price,4103,2,45770,2021-07-01,2021-08-01,2,45500,0,1GB 미만,22750.0
C-11305,남성,43,Yes,No,0,1,No,신용카드,No,No,No,Yes,14,2016-05-01,2022-01-01,No,49,,5955,4,4290,2016-05-01,2022-01-01,68,7250400,5,1GB 이상 2GB 미만,106623.5294117647
C-11306,남성,22,No,No,0,8,No,신용카드,No,Yes,No,Yes,27,2016-12-01,2022-01-01,No,29,,4283,4,0,2016-12-01,2022-01-01,61,3469100,5,2GB 이상 3GB 미만,56870.49180327869
C-11307,여성,43,No,No,0,0,No,신용카드,Yes,Yes,Yes,No,17,2015-05-01,2022-01-01,No,36,,5502,4,55140,2015-05-01,2022-01-01,80,10387600,6,1GB 이상 2GB 미만,129845.0
C-11308,여성,32,Yes,No,0,1,Yes,계좌이체,Yes,No,Yes,Yes,3,2015-01-01,2022-01-01,No,75,,4332,3,28820,2015-01-01,2022-01-01,84,9748100,7,1GB 미만,116048.80952380953
C-11309,남성,20,No,No,0,1,Yes,계좌이체,No,No,No,Yes,59,2020-12-01,2022-01-01,No,47,,4142,3,27460,2020-12-01,2022-01-01,13,1318200,1,5GB 이상 6GB 미만,101400.0
C-11310,남성,62,No,No,0,0,No,계좌이체,No,No,No,Yes,17,2020-12-01,2022-01-01,No,61,,2785,5,15140,2020-12-01,2022-01-01,13,743900,1,1GB 이상 2GB 미만,57223.07692307692
C-11311,여성,22,No,No,0,4,No,신용카드,No,No,No,No,0,2015-06-01,2022-01-01,No,26,,4994,4,37290,2015-06-01,2022-01-01,79,1836800,6,1GB 미만,23250.632911392404
C-11312,여성,57,Yes,No,0,1,No,이체/메일확인,Yes,Yes,Yes,Yes,4,2017-04-01,2022-01-01,No,61,,4885,3,37860,2017-04-01,2022-01-01,57,7600300,4,1GB 미만,133338.59649122806
C-11313,남성,57,Yes,No,0,1,Yes,신용카드,Yes,Yes,Yes,Yes,11,2015-01-01,2022-01-01,No,73,,4528,3,39550,2015-01-01,2022-01-01,84,9005000,7,1GB 이상 2GB 미만,107202.38095238095
C-11314,여성,23,No,No,0,4,No,신용카드,No,No,No,No,0,2020-03-01,2022-01-01,No,77,,3509,5,15820,2020-03-01,2022-01-01,22,532500,1,1GB 미만,24204.545454545456
C-11315,남성,47,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2016-02-01,2022-01-01,No,65,,5216,4,53340,2016-02-01,2022-01-01,71,1674400,5,1GB 미만,23583.098591549297
C-11316,남성,36,Yes,Yes,3,10,Yes,신용카드,No,Yes,No,Yes,57,2019-03-01,2022-01-01,No,64,,3274,4,10280,2019-03-01,2022-01-01,34,3982700,2,5GB 이상 6GB 미만,117138.23529411765
C-11317,남성,62,Yes,No,0,4,No,계좌이체,No,No,No,No,8,2018-07-01,2022-01-01,No,45,,3712,4,6330,2018-07-01,2022-01-01,42,2437600,3,1GB 미만,58038.09523809524
C-11318,남성,61,Yes,Yes,2,5,No,계좌이체,Yes,Yes,No,Yes,12,2016-09-01,2022-01-01,No,22,,4509,4,18650,2016-09-01,2022-01-01,64,5975100,5,1GB 이상 2GB 미만,93360.9375
C-11319,남성,35,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,13,2020-03-01,2022-01-01,No,23,,4810,3,29830,2020-03-01,2022-01-01,22,2493200,1,1GB 이상 2GB 미만,113327.27272727272
C-11320,남성,59,No,No,0,0,No,계좌이체,No,No,No,No,7,2020-12-01,2021-01-01,Yes,78,Competitor,5774,2,32090,2020-12-01,2021-01-01,2,105700,0,1GB 미만,52850.0
C-11322,남성,59,No,No,0,0,Yes,이체/메일확인,No,No,No,No,0,2019-05-01,2022-01-01,No,80,,2860,4,34010,2019-05-01,2022-01-01,32,743000,2,1GB 미만,23218.75
C-11323,여성,65,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,6,2020-01-01,2021-03-01,Yes,88,Competitor,5203,1,18530,2020-01-01,2021-03-01,15,1406300,1,1GB 미만,93753.33333333333
C-11324,남성,37,No,No,0,0,Yes,신용카드,No,No,Yes,Yes,18,2020-05-01,2021-09-01,Yes,87,Competitor,5953,3,13560,2020-05-01,2021-09-01,17,1812300,1,1GB 이상 2GB 미만,106605.88235294117
C-11325,여성,38,No,No,0,0,No,계좌이체,No,No,No,No,0,2018-02-01,2022-01-01,No,78,,2416,3,7350,2018-02-01,2022-01-01,47,1282700,3,1GB 미만,27291.489361702126
C-11326,여성,52,Yes,No,0,6,Yes,계좌이체,Yes,Yes,Yes,Yes,15,2015-01-01,2022-01-01,No,54,,6091,3,48140,2015-01-01,2022-01-01,84,8999600,7,1GB 이상 2GB 미만,107138.09523809524
C-11327,여성,46,Yes,No,0,7,Yes,신용카드,No,No,Yes,Yes,14,2015-08-01,2022-01-01,No,37,,6034,5,11530,2015-08-01,2022-01-01,77,5425600,6,1GB 이상 2GB 미만,70462.33766233767
C-11328,남성,47,Yes,No,0,3,No,신용카드,Yes,Yes,No,Yes,17,2020-06-01,2022-01-01,No,32,,5100,4,0,2020-06-01,2022-01-01,19,760100,1,1GB 이상 2GB 미만,40005.26315789474
C-11331,여성,68,No,No,0,0,Yes,신용카드,No,No,No,Yes,30,2021-03-01,2021-06-01,Yes,83,Competitor,3553,1,26890,2021-03-01,2021-06-01,4,368800,0,3GB 이상 4GB 미만,92200.0
C-11332,여성,44,No,No,0,0,Yes,계좌이체,No,No,No,Yes,16,2021-05-01,2021-07-01,Yes,98,Competitor,5172,3,9380,2021-05-01,2021-07-01,3,290000,0,1GB 이상 2GB 미만,96666.66666666667
C-11333,여성,27,Yes,Yes,2,1,Yes,신용카드,No,No,No,No,0,2019-02-01,2022-01-01,No,78,,5939,5,28820,2019-02-01,2022-01-01,35,1047900,2,1GB 미만,29940.0
C-11334,여성,21,No,No,0,1,Yes,계좌이체,No,Yes,Yes,No,59,2016-02-01,2021-12-01,Yes,100,Attitude,4191,2,47350,2016-02-01,2021-12-01,71,9068400,5,5GB 이상 6GB 미만,127723.94366197183
C-11335,여성,47,No,No,0,0,No,계좌이체,No,No,No,No,0,2018-08-01,2022-01-01,No,46,,5491,4,5090,2018-08-01,2022-01-01,41,1183200,3,1GB 미만,28858.536585365855
C-11336,여성,44,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2017-06-01,2022-01-01,No,41,,3678,3,7570,2017-06-01,2022-01-01,55,1286900,4,1GB 미만,23398.18181818182
C-11337,남성,73,No,No,0,0,Yes,신용카드,Yes,Yes,No,Yes,7,2019-07-01,2022-01-01,No,54,,2812,4,53450,2019-07-01,2022-01-01,30,2023700,2,1GB 미만,67456.66666666667
C-11338,여성,46,Yes,No,0,0,No,신용카드,No,No,No,No,0,2015-02-01,2022-01-01,No,52,,6334,5,50620,2015-02-01,2022-01-01,83,2434100,6,1GB 미만,29326.506024096387
C-11339,남성,75,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,23,2018-12-01,2021-03-01,Yes,65,Competitor,2377,1,11980,2018-12-01,2021-03-01,28,2469700,2,2GB 이상 3GB 미만,88203.57142857143
C-11340,여성,45,No,No,0,0,No,신용카드,No,No,No,No,0,2020-04-01,2022-01-01,No,61,,3248,4,35370,2020-04-01,2022-01-01,21,476300,1,1GB 미만,22680.95238095238
C-11341,여성,72,Yes,No,0,10,Yes,계좌이체,No,No,No,Yes,21,2017-01-01,2022-01-01,No,71,,5523,3,14240,2017-01-01,2022-01-01,60,4996700,5,2GB 이상 3GB 미만,83278.33333333333
C-11342,여성,36,No,No,0,0,No,신용카드,No,No,No,No,0,2018-10-01,2022-01-01,No,38,,5606,5,22830,2018-10-01,2022-01-01,39,852600,3,1GB 미만,21861.53846153846
C-11343,여성,67,Yes,No,0,1,Yes,계좌이체,Yes,Yes,Yes,Yes,21,2015-03-01,2022-01-01,No,44,,5264,4,21130,2015-03-01,2022-01-01,82,8929500,6,2GB 이상 3GB 미만,108896.34146341463
C-11344,여성,51,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,19,2016-03-01,2022-01-01,No,57,,5121,3,52770,2016-03-01,2022-01-01,70,8919000,5,1GB 이상 2GB 미만,127414.28571428571
C-11345,여성,23,No,No,0,0,No,계좌이체,No,Yes,No,No,51,2016-01-01,2022-01-01,No,75,,6186,5,40120,2016-01-01,2022-01-01,72,8827900,6,5GB 이상 6GB 미만,122609.72222222222
C-11346,남성,51,No,No,0,0,No,계좌이체,No,Yes,Yes,Yes,22,2017-03-01,2022-01-01,No,25,,4210,4,42380,2017-03-01,2022-01-01,58,7347000,4,2GB 이상 3GB 미만,126672.41379310345
C-11347,여성,24,No,No,0,0,No,신용카드,No,No,No,No,0,2021-07-01,2021-08-01,Yes,76,Price,3820,2,29490,2021-07-01,2021-08-01,2,46300,0,1GB 미만,23150.0
C-11348,남성,62,No,No,0,0,No,계좌이체,No,Yes,No,Yes,26,2016-02-01,2021-08-01,Yes,73,Other,4001,2,29150,2016-02-01,2021-08-01,67,7832900,5,2GB 이상 3GB 미만,116908.95522388059
C-11350,여성,26,Yes,Yes,1,1,No,신용카드,No,No,No,No,0,2020-05-01,2022-01-01,No,47,,3153,3,48250,2020-05-01,2022-01-01,20,458500,1,1GB 미만,22925.0
C-11351,여성,51,Yes,Yes,1,10,Yes,계좌이체,No,No,No,No,0,2015-05-01,2022-01-01,No,27,,6303,4,52660,2015-05-01,2022-01-01,80,1794700,6,1GB 미만,22433.75
C-11352,남성,59,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,26,2019-12-01,2021-06-01,Yes,82,Dissatisfaction,5474,2,0,2019-12-01,2021-06-01,19,768300,1,2GB 이상 3GB 미만,40436.84210526316
C-11353,여성,78,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,14,2020-12-01,2021-11-01,Yes,71,Competitor,3172,3,1470,2020-12-01,2021-11-01,12,1432200,1,1GB 이상 2GB 미만,119350.0
C-11355,여성,45,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2017-03-01,2022-01-01,No,54,,4883,4,31640,2017-03-01,2022-01-01,58,6861800,4,2GB 이상 3GB 미만,118306.89655172414
C-11356,여성,55,No,No,0,0,No,신용카드,No,No,No,No,0,2020-05-01,2022-01-01,No,71,,3087,3,26560,2020-05-01,2022-01-01,20,465000,1,1GB 미만,23250.0
C-11357,남성,32,Yes,Yes,3,10,No,계좌이체,No,No,Yes,Yes,57,2020-04-01,2022-01-01,No,61,,4171,4,50170,2020-04-01,2022-01-01,21,2493900,1,5GB 이상 6GB 미만,118757.14285714286
C-11358,남성,26,No,No,0,1,Yes,계좌이체,No,No,No,Yes,85,2020-12-01,2022-01-01,No,27,,4396,5,41020,2020-12-01,2022-01-01,13,1194900,1,8GB 이상,91915.38461538461
C-11359,남성,35,Yes,No,0,4,No,계좌이체,No,No,No,Yes,22,2015-10-01,2022-01-01,No,29,,4004,5,3050,2015-10-01,2022-01-01,75,9130400,6,2GB 이상 3GB 미만,121738.66666666667
C-11360,남성,42,No,No,0,0,No,계좌이체,No,No,No,No,0,2019-07-01,2022-01-01,No,39,,5379,5,37520,2019-07-01,2022-01-01,30,672600,2,1GB 미만,22420.0
C-11361,여성,23,No,No,0,0,Yes,이체/메일확인,No,No,No,No,47,2021-08-01,2021-09-01,Yes,94,Competitor,3860,3,25090,2021-08-01,2021-09-01,2,169800,0,4GB 이상 5GB 미만,84900.0
C-11362,남성,31,No,No,0,0,Yes,신용카드,No,No,Yes,Yes,21,2020-07-01,2021-08-01,Yes,81,Price,3493,1,27230,2020-07-01,2021-08-01,14,1616200,1,2GB 이상 3GB 미만,115442.85714285714
C-11363,여성,54,No,No,0,0,Yes,계좌이체,No,No,No,No,16,2021-03-01,2021-10-01,Yes,69,Competitor,3830,1,21700,2021-03-01,2021-10-01,8,713300,0,1GB 이상 2GB 미만,89162.5
C-11364,남성,45,Yes,Yes,3,1,Yes,계좌이체,No,No,Yes,Yes,28,2019-07-01,2022-01-01,No,63,,5968,4,31640,2019-07-01,2022-01-01,30,2995500,2,2GB 이상 3GB 미만,99850.0
C-11365,남성,28,Yes,Yes,3,1,Yes,신용카드,Yes,No,Yes,Yes,76,2017-12-01,2022-01-01,No,31,,3483,4,40340,2017-12-01,2022-01-01,49,3402300,4,7GB 이상 8GB 미만,69434.69387755102
C-11366,남성,44,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,12,2020-10-01,2021-10-01,Yes,92,Attitude,2406,2,28480,2020-10-01,2021-10-01,13,1567600,1,1GB 이상 2GB 미만,120584.61538461539
C-11367,여성,64,No,No,0,0,Yes,계좌이체,No,No,No,Yes,12,2017-12-01,2021-07-01,Yes,92,Competitor,4044,1,0,2017-12-01,2021-07-01,44,2510500,3,1GB 이상 2GB 미만,57056.818181818184
C-11368,여성,49,Yes,No,0,10,Yes,계좌이체,No,Yes,Yes,Yes,26,2015-10-01,2022-01-01,No,20,,4582,5,23050,2015-10-01,2022-01-01,75,9559200,6,2GB 이상 3GB 미만,127456.0
C-11369,남성,54,Yes,Yes,3,1,Yes,신용카드,No,No,No,No,0,2020-07-01,2022-01-01,No,57,,4628,5,46780,2020-07-01,2022-01-01,18,423200,1,1GB 미만,23511.11111111111
C-11370,남성,73,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,26,2019-08-01,2021-08-01,Yes,66,Attitude,5245,3,3620,2019-08-01,2021-08-01,25,3015000,2,2GB 이상 3GB 미만,120600.0
C-11371,여성,47,No,No,0,0,Yes,계좌이체,No,No,No,Yes,8,2021-10-01,2021-12-01,Yes,76,Other,4157,3,11870,2021-10-01,2021-12-01,3,341500,0,1GB 미만,113833.33333333333
C-11372,남성,25,Yes,No,0,1,Yes,계좌이체,No,Yes,No,Yes,30,2017-12-01,2021-02-01,Yes,71,Other,3498,2,56160,2017-12-01,2021-02-01,39,4249200,3,3GB 이상 4GB 미만,108953.84615384616
C-11373,남성,24,No,No,0,1,Yes,계좌이체,No,No,No,No,41,2018-04-01,2021-01-01,Yes,76,Competitor,4161,2,47230,2018-04-01,2021-01-01,34,3788600,2,4GB 이상 5GB 미만,111429.41176470589
C-11374,여성,35,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,12,2017-01-01,2022-01-01,No,78,,4304,5,11870,2017-01-01,2022-01-01,60,7195400,5,1GB 이상 2GB 미만,119923.33333333333
C-11375,남성,63,No,No,0,0,No,계좌이체,No,No,No,Yes,20,2020-09-01,2022-01-01,No,55,,3653,5,50170,2020-09-01,2022-01-01,16,1667500,1,2GB 이상 3GB 미만,104218.75
C-11376,여성,48,No,No,0,0,No,신용카드,Yes,Yes,Yes,Yes,2,2018-08-01,2022-01-01,No,65,,3152,3,15480,2018-08-01,2022-01-01,41,3321000,3,1GB 미만,81000.0
C-11377,남성,50,No,No,0,0,No,계좌이체,Yes,Yes,No,Yes,21,2018-10-01,2022-01-01,No,80,,3616,3,22940,2018-10-01,2022-01-01,39,2508800,3,2GB 이상 3GB 미만,64328.205128205125
C-11378,남성,51,Yes,No,0,8,Yes,계좌이체,No,Yes,Yes,Yes,16,2015-08-01,2022-01-01,No,33,,5256,5,47010,2015-08-01,2022-01-01,77,7509300,6,1GB 이상 2GB 미만,97523.37662337662
C-11379,남성,24,No,No,0,0,No,신용카드,No,No,Yes,Yes,76,2018-06-01,2022-01-01,No,68,,4850,5,19440,2018-06-01,2022-01-01,43,4083000,3,7GB 이상 8GB 미만,94953.48837209302
C-11380,여성,56,Yes,No,0,3,Yes,이체/메일확인,Yes,No,No,Yes,10,2016-12-01,2022-01-01,No,53,,5417,3,50620,2016-12-01,2022-01-01,61,7253200,5,1GB 이상 2GB 미만,118904.91803278688
C-11381,남성,51,Yes,Yes,1,0,No,계좌이체,Yes,Yes,Yes,Yes,13,2015-01-01,2022-01-01,No,32,,4700,3,28250,2015-01-01,2022-01-01,84,11172800,7,1GB 이상 2GB 미만,133009.52380952382
C-11382,여성,37,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,29,2020-08-01,2022-01-01,No,75,,4421,5,50620,2020-08-01,2022-01-01,17,1242800,1,2GB 이상 3GB 미만,73105.88235294117
C-11383,남성,61,Yes,No,0,10,No,신용카드,Yes,No,No,Yes,9,2020-12-01,2022-01-01,No,36,,5664,4,20000,2020-12-01,2022-01-01,13,818300,1,1GB 미만,62946.153846153844
C-11384,여성,80,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,16,2018-04-01,2022-01-01,No,30,,3116,4,0,2018-04-01,2022-01-01,45,3181900,3,1GB 이상 2GB 미만,70708.88888888889
C-11385,여성,60,No,No,0,0,No,신용카드,No,No,Yes,Yes,7,2020-12-01,2022-01-01,No,55,,3929,5,0,2020-12-01,2022-01-01,13,530500,1,1GB 미만,40807.692307692305
C-11386,여성,48,Yes,Yes,1,7,No,신용카드,No,No,No,No,0,2015-08-01,2022-01-01,No,72,,5352,3,3390,2015-08-01,2022-01-01,77,2376900,6,1GB 미만,30868.83116883117
C-11387,여성,32,No,No,0,0,No,신용카드,No,No,Yes,Yes,18,2016-01-01,2022-01-01,No,52,,4159,5,18190,2016-01-01,2022-01-01,72,6825800,6,1GB 이상 2GB 미만,94802.77777777778
C-11388,남성,65,Yes,No,0,1,Yes,계좌이체,Yes,Yes,Yes,Yes,29,2015-10-01,2022-01-01,No,42,,5688,3,45990,2015-10-01,2022-01-01,75,7408600,6,2GB 이상 3GB 미만,98781.33333333333
C-11389,여성,71,No,No,0,0,Yes,계좌이체,No,No,No,Yes,3,2021-03-01,2021-06-01,Yes,67,Other,2491,3,2600,2021-03-01,2021-06-01,4,335500,0,1GB 미만,83875.0
C-11390,여성,75,Yes,No,0,5,No,계좌이체,No,No,No,Yes,29,2016-06-01,2022-01-01,No,24,,4763,3,33340,2016-06-01,2022-01-01,67,4121000,5,2GB 이상 3GB 미만,61507.46268656717
C-11391,남성,56,Yes,Yes,2,9,No,신용카드,No,Yes,Yes,Yes,17,2015-05-01,2022-01-01,No,39,,4437,3,10060,2015-05-01,2022-01-01,80,10102900,6,1GB 이상 2GB 미만,126286.25
C-11392,여성,70,Yes,No,0,10,Yes,계좌이체,Yes,Yes,Yes,Yes,20,2015-01-01,2022-01-01,No,78,,5153,4,31750,2015-01-01,2022-01-01,84,9525700,7,2GB 이상 3GB 미만,113401.19047619047
C-11393,여성,50,Yes,No,0,3,Yes,계좌이체,No,No,No,Yes,29,2019-07-01,2021-04-01,Yes,72,Competitor,2036,3,47690,2019-07-01,2021-04-01,22,2276800,1,2GB 이상 3GB 미만,103490.90909090909
C-11394,남성,32,No,No,0,0,Yes,계좌이체,No,No,No,Yes,5,2020-11-01,2021-04-01,Yes,99,Competitor,3965,1,35140,2020-11-01,2021-04-01,6,471900,0,1GB 미만,78650.0
C-11395,여성,57,Yes,No,0,1,No,계좌이체,No,No,No,No,0,2017-12-01,2022-01-01,No,72,,3924,4,51080,2017-12-01,2022-01-01,49,1137400,4,1GB 미만,23212.244897959183
C-11396,여성,47,No,No,0,0,Yes,신용카드,No,No,No,Yes,4,2018-08-01,2022-01-01,No,32,,4226,5,46780,2018-08-01,2022-01-01,41,3475700,3,1GB 미만,84773.17073170732
C-11397,여성,41,Yes,No,0,4,Yes,계좌이체,No,Yes,Yes,Yes,21,2015-09-01,2022-01-01,No,55,,5455,4,9720,2015-09-01,2022-01-01,76,9936000,6,2GB 이상 3GB 미만,130736.84210526316
C-11398,남성,61,No,No,0,0,No,계좌이체,No,No,No,No,0,2017-03-01,2022-01-01,No,38,,2942,5,34240,2017-03-01,2022-01-01,58,1343000,4,1GB 미만,23155.172413793105
C-11399,여성,77,No,Yes,2,0,No,계좌이체,Yes,No,No,No,18,2020-07-01,2021-02-01,Yes,81,Price,4419,2,30510,2020-07-01,2021-02-01,8,700600,0,1GB 이상 2GB 미만,87575.0
C-11400,여성,66,No,No,0,0,Yes,신용카드,No,No,No,Yes,18,2019-02-01,2022-01-01,No,50,,3558,5,9830,2019-02-01,2022-01-01,35,3246400,2,1GB 이상 2GB 미만,92754.28571428571
C-11401,남성,47,Yes,No,0,5,No,계좌이체,No,No,No,No,0,2015-05-01,2022-01-01,No,70,,4571,3,25760,2015-05-01,2022-01-01,80,2398000,6,1GB 미만,29975.0
C-11402,여성,59,Yes,No,0,10,No,신용카드,No,Yes,Yes,Yes,17,2017-08-01,2022-01-01,No,80,,2954,4,0,2017-08-01,2022-01-01,53,2213600,4,1GB 이상 2GB 미만,41766.03773584906
C-11403,남성,49,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,23,2021-08-01,2021-10-01,Yes,73,Competitor,3851,1,10060,2021-08-01,2021-10-01,3,307100,0,2GB 이상 3GB 미만,102366.66666666667
C-11404,여성,37,No,Yes,2,0,Yes,신용카드,No,Yes,Yes,Yes,19,2019-08-01,2022-01-01,No,41,,2347,4,56270,2019-08-01,2022-01-01,29,3165000,2,1GB 이상 2GB 미만,109137.93103448275
C-11405,남성,46,Yes,Yes,2,2,No,계좌이체,No,No,No,No,0,2016-06-01,2022-01-01,No,49,,5248,3,27910,2016-06-01,2022-01-01,67,1499400,5,1GB 미만,22379.10447761194
C-11406,여성,54,Yes,Yes,3,3,Yes,이체/메일확인,Yes,No,No,No,52,2020-08-01,2022-01-01,No,44,,5756,4,53220,2020-08-01,2022-01-01,17,1009000,1,5GB 이상 6GB 미만,59352.94117647059
C-11407,여성,48,Yes,No,0,2,No,신용카드,Yes,Yes,Yes,Yes,9,2015-05-01,2022-01-01,No,50,,4114,4,30960,2015-05-01,2022-01-01,80,6576400,6,1GB 미만,82205.0
C-11408,남성,80,Yes,No,0,2,Yes,계좌이체,No,No,No,Yes,21,2020-06-01,2022-01-01,No,41,,3533,4,24180,2020-06-01,2022-01-01,19,1638800,1,2GB 이상 3GB 미만,86252.63157894737
C-11409,여성,50,No,No,0,0,Yes,이체/메일확인,No,No,No,Yes,5,2020-09-01,2021-03-01,Yes,77,Competitor,5816,1,44520,2020-09-01,2021-03-01,7,565700,0,1GB 미만,80814.28571428571
C-11410,여성,78,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,15,2017-08-01,2022-01-01,No,61,,4477,5,7120,2017-08-01,2022-01-01,53,6563400,4,1GB 이상 2GB 미만,123837.7358490566
C-11411,남성,54,No,No,0,0,No,계좌이체,No,Yes,No,Yes,16,2020-11-01,2022-01-01,No,76,,3969,4,4290,2020-11-01,2022-01-01,14,1304000,1,1GB 이상 2GB 미만,93142.85714285714
C-11412,여성,21,No,Yes,1,0,No,이체/메일확인,No,No,No,No,0,2020-12-01,2022-01-01,No,38,,4556,3,36950,2020-12-01,2022-01-01,13,356000,1,1GB 미만,27384.615384615383
C-11413,남성,25,No,No,0,0,Yes,신용카드,No,No,No,No,0,2020-12-01,2022-01-01,No,21,,4769,5,48590,2020-12-01,2022-01-01,13,322600,1,1GB 미만,24815.384615384617
C-11414,남성,42,No,No,0,0,Yes,계좌이체,No,Yes,Yes,Yes,28,2020-10-01,2022-01-01,No,70,,5653,3,14350,2020-10-01,2022-01-01,15,1831800,1,2GB 이상 3GB 미만,122120.0
C-11416,남성,25,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,48,2018-10-01,2021-03-01,Yes,91,Competitor,5292,1,4520,2018-10-01,2021-03-01,30,3183100,2,4GB 이상 5GB 미만,106103.33333333333
C-11417,남성,33,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,5,2019-08-01,2022-01-01,No,37,,5228,5,32540,2019-08-01,2022-01-01,29,3237300,2,1GB 미만,111631.03448275862
C-11418,남성,56,Yes,No,0,3,No,계좌이체,No,No,No,No,0,2017-12-01,2022-01-01,No,24,,3078,4,2490,2017-12-01,2022-01-01,49,1184100,4,1GB 미만,24165.30612244898
C-11419,여성,60,Yes,No,0,1,Yes,신용카드,No,Yes,No,Yes,16,2019-03-01,2022-01-01,No,53,,5722,3,44970,2019-03-01,2022-01-01,34,2158400,2,1GB 이상 2GB 미만,63482.35294117647
C-11420,여성,63,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,2,2015-05-01,2022-01-01,No,46,,5531,3,24630,2015-05-01,2022-01-01,80,8304000,6,1GB 미만,103800.0
C-11421,여성,56,Yes,No,0,10,Yes,계좌이체,No,Yes,Yes,Yes,6,2015-01-01,2022-01-01,No,76,,5050,5,29380,2015-01-01,2022-01-01,84,7864100,7,1GB 미만,93620.23809523809
C-11422,여성,57,Yes,Yes,2,1,No,신용카드,No,No,Yes,Yes,12,2019-01-01,2021-07-01,Yes,79,Dissatisfaction,4568,3,0,2019-01-01,2021-07-01,31,1877400,2,1GB 이상 2GB 미만,60561.290322580644
C-11423,여성,70,No,No,0,0,Yes,계좌이체,No,No,No,Yes,2,2019-04-01,2021-11-01,Yes,75,Attitude,2560,1,17400,2019-04-01,2021-11-01,32,2778100,2,1GB 미만,86815.625
